SOURCE;ROW;COUNT;CREDIT AMOUNT;DEBIT AMOUNT;TOTAL AMOUNT
INTERCHANGE VALUE;TOTAL ACQUIRER;0;0,00;0,00;0,00
INTERCHANGE VALUE;TOTAL ISSUER;708;2.118,84;10.018,79;-7.899,95
INTERCHANGE VALUE;TOTAL OTHER;0;0,00;0,00;0,00
INTERCHANGE VALUE;TOTAL INTERCHANGE VALUE;708;2.118,84;10.018,79;-7.899,95
REIMBURSEMENT FEES;TOTAL ACQUIRER;;0,00;0,00;0,00
REIMBURSEMENT FEES;TOTAL ISSUER;;149,13;24,32;124,81
REIMBURSEMENT FEES;TOTAL OTHER;;0,00;0,00;0,00
REIMBURSEMENT FEES;TOTAL REIMBURSEMENT FEES;;149,13;24,32;124,81
VISA CHARGES;TOTAL ACQUIRER;;0,00;0,00;0,00
VISA CHARGES;TOTAL ISSUER;;0,00;0,00;0,00
VISA CHARGES;TOTAL OTHER;;0,00;0,00;0,00
VISA CHARGES;TOTAL VISA CHARGES;;0,00;0,00;0,00
TOTAL;TOTAL ACQUIRER;;0,00;0,00;0,00
TOTAL;TOTAL ISSUER;;2.267,97;10.043,11;-7.775,14
TOTAL;TOTAL OTHER;;0,00;0,00;0,00
TOTAL;NET SETTLEMENT AMOUNT;;2.267,97;10.043,11;-7.775,14
TOTAL;NET SETTLEMENT AMOUNT;;2.267,97;10.043,11;-7.775,14
