SOURCE;ROW;COUNT;CREDIT AMOUNT;DEBIT AMOUNT;TOTAL AMOUNT
INTERCHANGE VALUE;TOTAL ACQUIRER;0;0,00;0,00;0,00
INTERCHANGE VALUE;TOTAL ISSUER;744;1.412,28;10.923,25;-9.510,97
INTERCHANGE VALUE;TOTAL OTHER;0;0,00;0,00;0,00
INTERCHANGE VALUE;TOTAL INTERCHANGE VALUE;744;1.412,28;10.923,25;-9.510,97
REIMBURSEMENT FEES;TOTAL ACQUIRER;;0,00;0,00;0,00
REIMBURSEMENT FEES;TOTAL ISSUER;;165,25;12,53;152,72
REIMBURSEMENT FEES;TOTAL OTHER;;0,00;0,00;0,00
REIMBURSEMENT FEES;TOTAL REIMBURSEMENT FEES;;165,25;12,53;152,72
VISA CHARGES;TOTAL ACQUIRER;;0,00;0,00;0,00
VISA CHARGES;TOTAL ISSUER;;0,00;0,00;0,00
VISA CHARGES;TOTAL OTHER;;0,00;0,00;0,00
VISA CHARGES;TOTAL VISA CHARGES;;0,00;0,00;0,00
TOTAL;TOTAL ACQUIRER;;0,00;0,00;0,00
TOTAL;TOTAL ISSUER;;1.577,53;10.935,78;-9.358,25
TOTAL;TOTAL OTHER;;0,00;0,00;0,00
TOTAL;NET SETTLEMENT AMOUNT;;1.577,53;10.935,78;-9.358,25
TOTAL;NET SETTLEMENT AMOUNT;;1.577,53;10.935,78;-9.358,25
